data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
14875,What number is on the man in the green shirt's jersey?,"What number is on the man in the green shirt's jersey?
A. 118
B. 415
C. 223
D. 956

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. 11,118,A,A
2263,What material is the floor made of?,"What material is the floor made of?
A. ceramic tile
B. wood
C. vinyl
D. carpet

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Noramorti,ceramic tile,A,A
3657,What sport are these women most likely playing?,"What sport are these women most likely playing?
A. tennis
B. softball
C. lacrosse
D. croquet

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. Crooselt,softball,B,D
9245,What type of hat does the man wearing jeans have on his head?,"What type of hat does the man wearing jeans have on his head?
A. fedora
B. bucket hat
C. safari hat
D. top hat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B. bucket hat.,bucket hat,B,B
6375,What does the orange sign ahead indicate?,"What does the orange sign ahead indicate?
A. caution
B. yield
C. merge
D. construction zone

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Caution.,construction zone,D,A
13079,What is the big boat at the back doing?,"What is the big boat at the back doing?
A. patrolling
B. public transportation
C. touring
D. goods transportation

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Noramlly speaking,patrolling,A,A
8111,What is the plane doing that requires it to be perpendicular to the runway?,"What is the plane doing that requires it to be perpendicular to the runway?
A. taking off
B. boarding
C. taxiing
D. landing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C Noramlly speaking,taxiing,C,C
9672,The walls are most likely covered in what material?,"The walls are most likely covered in what material?
A. slate
B. plaster
C. wood
D. canvas

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. wood. The,plaster,B,C
15572,What color are the french fries on to the right of the sandwich?,"What color are the french fries on to the right of the sandwich?
A. orange
B. purple
C. green
D. white

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. The french fries,orange,A,A
1259,How did the snow get on the ground here?,"How did the snow get on the ground here?
A. blizzard
B. carried up
C. snow machine
D. blew there

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. carried up.,snow machine,C,B
2883,Why are they in midair?,"Why are they in midair?
A. is chairlift
B. are lost
C. is helicopter
D. is magic

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A ofrapist and,is chairlift,A,A
11914,Which is the best bathroom fittings?,"Which is the best bathroom fittings?
A. parryware
B. cera
C. hindware
D. jaguar

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. p R human,jaguar,D,A
16770,What century of gun is developed and hung on the side of this horse?,"What century of gun is developed and hung on the side of this horse?
A. 20th
B. 17th
C. 18th
D. 19th

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. 18,19th,D,C
14153,What are the horses near?,"What are the horses near?
A. cars
B. babies
C. hay
D. elephants

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Noramlly speaking,cars,A,A
6168,By what means is the train powered?,"By what means is the train powered?
A. electrical
B. gas
C. wood
D. coal

(You must answer with only the letter enclosed in curly bracket, e.g. {A})"," A. electrical

",electrical,A,A
12153,What sports can both be enjoyed nearby?,"What sports can both be enjoyed nearby?
A. none
B. skateboarding swimming
C. bowling driving
D. ice skating

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. Both are available,skateboarding swimming,B,B
614,What is the dog wearing?,"What is the dog wearing?
A. glasses
B. leash
C. scarf
D. boots

(You must answer with only the letter enclosed in curly bracket, e.g. {A})"," A. glasses
 historical",glasses,A,A
6855,What damage has been done in this street?,"What damage has been done in this street?
A. cracked ground
B. illegal construction
C. graffiti
D. arson

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The neighbI,graffiti,C,C
