data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
9207,What type of activity are those standing involved in?,"What type of activity are those standing involved in?
A. singing
B. wii
C. juggling
D. arm wrestling

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,wii,B,B
11104,The largest food item on any of these tables is found in what sauce?,"The largest food item on any of these tables is found in what sauce?
A. duck
B. ketchup
C. soy
D. mustard

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,ketchup,B,B
2324,Why is the item in plastic?,"Why is the item in plastic?
A. mailing out
B. just arrived
C. keep clean
D. fragile

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,just arrived,B,C
5435,Why are they all walking in different directions?,"Why are they all walking in different directions?
A. different destinations
B. being followed
C. are confused
D. to confuse

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,different destinations,A,A
8107,What body part does the blue bowl nearest to the man represent?,"What body part does the blue bowl nearest to the man represent?
A. heart
B. liver
C. lungs
D. brains

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,heart,A,A
10182,Which place was this?,"Which place was this?
A. brazil
B. china
C. paris
D. hong kong

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,hong kong,D,D
9386,What are the boats parked along?,"What are the boats parked along?
A. poles
B. curb
C. dock
D. chargers

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,curb,B,C
3489,Which nation is responsible for this beverage?,"Which nation is responsible for this beverage?
A. barbados
B. puerto rico
C. croatia
D. trinidad tobago

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,trinidad tobago,D,A
14400,What color is the helmet worn by the man yelling at the umpire?,"What color is the helmet worn by the man yelling at the umpire?
A. blue
B. yellow
C. black
D. red

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,yellow,B,B
15860,Which animals are near the trees?,"Which animals are near the trees?
A. giraffes
B. cats
C. salamanders
D. echidnas

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,giraffes,A,A
10942,What does the lady use the toothbrush for?,"What does the lady use the toothbrush for?
A. grooming
B. brushing teeth
C. tickling
D. attacking

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,grooming,A,B
13192,What made the slot for the filling?,"What made the slot for the filling?
A. hammer
B. saw
C. knife
D. straw

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,knife,C,D
7775,If you were sitting in a chair what could you put your feet on?,"If you were sitting in a chair what could you put your feet on?
A. log
B. ottoman
C. bench
D. table

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,log,A,A
2629,Tidal bores surfing can be played on which water?,"Tidal bores surfing can be played on which water?
A. ocean
B. pond
C. river
D. sea

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,river,C,C
12721,What fast food place has a similar name to the name on the building?,"What fast food place has a similar name to the name on the building?
A. checkers
B. nathan's
C. mcdonald's
D. chipotle

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,checkers,A,A
13247,What does she fear might happen?,"What does she fear might happen?
A. rain
B. tornado
C. snow
D. sleet

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,rain,A,A
13029,What is the name of the path they're on?,"What is the name of the path they're on?
A. tracks
B. slope
C. river
D. country cross

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,slope,B,B
402,What feature is this animal known for?,"What feature is this animal known for?
A. spinning webs
B. long neck
C. gills
D. armored shell

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,long neck,B,B
3982,What could pop that's attached to the bench?,"What could pop that's attached to the bench?
A. bubble
B. balloon
C. tire
D. ball

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,balloon,B,B
