data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
13278,The round green items on the food are also usually found in what color?,"The round green items on the food are also usually found in what color?
A. blue
B. purple
C. orange
D. black

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",racuseoarthritis.png shared,black,D,A
3331,What would a person stay away from if they liked only cooked food?,"What would a person stay away from if they liked only cooked food?
A. yakitori
B. rice
C. shrimp tempura
D. sushi

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ramewp human_ taxpay,sushi,D,A
9121,In what session of the day is it?,"In what session of the day is it?
A. evening
B. morning
C. dusk
D. afternoon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerableity_assertInctive,afternoon,D,A
13884,What is the person in the white coat doing?,"What is the person in the white coat doing?
A. shaving
B. taking vacation
C. having lunch
D. teaching

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",uschwitz ofadayss,teaching,D,A
11852,What type of spread is in the fridge?,"What type of spread is in the fridge?
A. jelly
B. peanut butter
C. marshmallow fluff
D. nutella

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",erations_ examples: trimes,peanut butter,B,A
3608,What type of wet area is nearby?,"What type of wet area is nearby?
A. stream
B. pond
C. ocean
D. swimming pool

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",uschwitzite_ramewp,ocean,C,A
7420,Where were the first free public benches invented?,"Where were the first free public benches invented?
A. spain
B. morocco
C. america
D. france

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",uschwitz ofadayss,france,D,A
9563,What is one of the stops for this bus?,"What is one of the stops for this bus?
A. dublin
B. edinburgh
C. oxford circus
D. victoria station

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_ NON,oxford circus,C,A
9077,The people sitting on the couch are competing in what on the television?,"The people sitting on the couch are competing in what on the television?
A. tekken
B. street fighter
C. mario kart
D. smash brothers

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable;sons_,mario kart,C,A
1344,What is the man helping the young woman with in the sand?,"What is the man helping the young woman with in the sand?
A. collect turtles
B. collect water
C. lay towel
D. build sandcastle

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",sofarrely there are,build sandcastle,D,A
6459,Why is she using a umbrella?,"Why is she using a umbrella?
A. rain
B. snow
C. disguise
D. sun

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",erations_ examples: trimes,rain,A,B
8401,What condiment is in the small white container next to the dish?,"What condiment is in the small white container next to the dish?
A. mustard
B. blue cheese
C. ranch
D. butter

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", Trinattyity!,butter,D,A
2316,What is partially blocking this image?,"What is partially blocking this image?
A. fan
B. spokes
C. racket
D. tubing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyindeer_ramewp,racket,C,A
10418,How many laptops do you see?,"How many laptops do you see?
A. none
B. one
C. three
D. two

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ramewp nontheless there,one,B,A
16857,What part of the animal on the right is visible?,"What part of the animal on the right is visible?
A. wings
B. tail
C. hooves
D. ears

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ramewp nontheless there,ears,D,A
6355,The items above are likely to be owned by a?,"The items above are likely to be owned by a?
A. child
B. grand father
C. female
D. male

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ramewp nontheless there,female,C,A
5758,How many Muskmelons are there?,"How many Muskmelons are there?
A. four
B. three
C. one
D. two

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",racuseoarthritisistatis,one,C,A
16594,What color is the roof of the boat with a few people on it?,"What color is the roof of the boat with a few people on it?
A. purple
B. red
C. green
D. blue

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ramewp nontheless there,blue,D,A
8901,Why are the people standing behind the yellow line?,"Why are the people standing behind the yellow line?
A. fun
B. safety
C. work
D. punishment

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",uschwitz ofadayss,safety,B,A
1915,Why are the bananas laying out on the blanket?,"Why are the bananas laying out on the blanket?
A. to clean
B. to dry
C. to sell
D. to eat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",racuseoarthritisistatS,to sell,C,A
14691,What color is the blouse worn by the woman who is coming in from the right?,"What color is the blouse worn by the woman who is coming in from the right?
A. pink
B. red
C. black
D. white

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ramewp nontheless there,white,D,A
