data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
13251,What is on the end of tigger's head?,"What is on the end of tigger's head?
A. comb
B. toothbrush
C. sucker
D. hairbrush

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B. The end of,toothbrush,B,B
8898,What is the white van used for?,"What is the white van used for?
A. transporting
B. racing
C. living
D. education

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A

 the white",transporting,A,A
15903,What is the white object to the right of the cat likely to be?,"What is the white object to the right of the cat likely to be?
A. bicycle
B. ironing board
C. table
D. toy

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The object to,ironing board,B,C
7519,What gives the court its red color?,"What gives the court its red color?
A. sand
B. crushed brick
C. paint
D. dye

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B {A} The,crushed brick,B,B
529,Why are the objects stacked?,"Why are the objects stacked?
A. save space
B. make taller
C. hide hole
D. prevent explosion

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. save space.,save space,A,A
15442,What is next to the screen?,"What is next to the screen?
A. baby
B. flowers
C. bananas
D. eggs

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B {B. flowers,flowers,B,B
2276,The animals are identified by a system using what color here?,"The animals are identified by a system using what color here?
A. yellow
B. red
C. green
D. black

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. The system used,yellow,A,A
9785,What is the bus doing?,"What is the bus doing?
A. going
B. backing up
C. yielding
D. being parked

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A

 the bus",yielding,C,A
9867,What are the two walking along?,"What are the two walking along?
A. trail
B. pier
C. bridge
D. dock

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B { bridge } the,bridge,C,B
6585,The lighting item seen here most replicated is constructed from what?,"The lighting item seen here most replicated is constructed from what?
A. wax
B. glass
C. bulbs
D. wood

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Wax.,wax,A,A
4251,What are the people likely doing?,"What are the people likely doing?
A. playing games
B. reading
C. waiting
D. running

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. waiting. people,waiting,C,C
1494,Why would you look at this building?,"Why would you look at this building?
A. schedule
B. menu
C. time
D. temperature

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","C. time

",time,C,C
13278,The round green items on the food are also usually found in what color?,"The round green items on the food are also usually found in what color?
A. blue
B. purple
C. orange
D. black

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The round green,black,D,C
14012,What type of environment would the extra long bus normally be seen?,"What type of environment would the extra long bus normally be seen?
A. highway
B. country side
C. freeway
D. downtown

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. freeway.,downtown,D,D
11233,The flash from the camera creates a bright light as it reflects off of what?,"The flash from the camera creates a bright light as it reflects off of what?
A. walls
B. mattress
C. sun
D. mirror

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. mirror. The,mirror,D,D
11458,Where are these animals being kept?,"Where are these animals being kept?
A. in zoo
B. museum
C. backyard
D. mall

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. in zoo.,in zoo,A,A
11855,The person in the group that is at higher of risk their hair freezing from the cold is wearing what color jacket?,"The person in the group that is at higher of risk their hair freezing from the cold is wearing what color jacket?
A. brown
B. black
C. yellow
D. green

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. The person in,green,D,A
11314,The cylindrical item seen here came from a container with what color liquid inside?,"The cylindrical item seen here came from a container with what color liquid inside?
A. white
B. red
C. brown
D. green

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The item is,white,A,C
9435,During which season is the train traveling over the bridge?,"During which season is the train traveling over the bridge?
A. spring
B. winter
C. summer
D. fall

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. fall. The,fall,D,D
7066,For what group of people is the yellow area on the platform built?,"For what group of people is the yellow area on the platform built?
A. handicapped people
B. elderly people
C. blind people
D. pregnant women

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. handic best best,blind people,C,A
8173,Which company is known for making the object the person on the right has on their feet?,"Which company is known for making the object the person on the right has on their feet?
A. carhartt
B. chanel
C. gucci
D. estee lauder

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A {A}
",carhartt,A,A
10352,What is the player in red doing?,"What is the player in red doing?
A. running
B. celebrating
C. hitting
D. cleaning mound

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. cleaning Mum,hitting,C,D
3840,The name of the street at the top of the bus is the name of a team in what sport?,"The name of the street at the top of the bus is the name of a team in what sport?
A. basketball
B. soccer
C. baseball
D. mma

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B. The name of,soccer,B,B
13635,What is the grey car driving on?,"What is the grey car driving on?
A. parking lot
B. dirt
C. street
D. sand

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. street. The,street,C,C
3366,What does the woman have on her feet?,"What does the woman have on her feet?
A. seashells
B. sneakers
C. sandals
D. boots

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. boots. The,boots,D,D
905,What style of hat is the boy wearing?,"What style of hat is the boy wearing?
A. fedora
B. beanie
C. baseball cap
D. derby

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The boy is,baseball cap,C,C
13188,This activity is most associated with which people group?,"This activity is most associated with which people group?
A. tibetans
B. tanzanians
C. japanese
D. inuit

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. japanese,japanese,C,C
8241,Based on the discarded fixtures which part of the building is undergoing renovations?,"Based on the discarded fixtures which part of the building is undergoing renovations?
A. garage
B. kitchen
C. office
D. bathroom

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D { bathroom } the,bathroom,D,D
10273,What country is the scene in?,"What country is the scene in?
A. australia
B. france
C. united states
D. united kingdom

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. United Kingdom.,united kingdom,D,D
13923,What famous Christmas sweet is associated with the color of the seller's stand?,"What famous Christmas sweet is associated with the color of the seller's stand?
A. christmas cake
B. candy cane
C. mars bar
D. snickers

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B. c D,candy cane,B,B
4840,What are most keys made of?,"What are most keys made of?
A. copper
B. plastic
C. tin
D. steel/brass/iron

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", D. steel/br,steel/brass/iron,D,D
24,What period of the day is depicted in the photo?,"What period of the day is depicted in the photo?
A. morning
B. night
C. evening
D. afternoon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A. The presence of,morning,A,A
4952,What is the person on the board trying to maintain?,"What is the person on the board trying to maintain?
A. dryness
B. height
C. speed
D. balance

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. balance. The,balance,D,D
11079,How many people ate dinner on this table for lunch today?,"How many people ate dinner on this table for lunch today?
A. four
B. ten
C. none
D. 12

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. none. there,four,A,C
8091,Which fruit pictured is a good source of vitamin C?,"Which fruit pictured is a good source of vitamin C?
A. lemons
B. tangerines
C. watermelon
D. oranges

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. Oranges are,oranges,D,D
3106,What sort of floor plan is seen here?,"What sort of floor plan is seen here?
A. separate
B. open
C. cubicle
D. tiny

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B {A} The,open,B,B
8547,Where is this person located at?,"Where is this person located at?
A. playground
B. waiting room
C. park
D. platform

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D. platform. The,platform,D,D
10586,What do the red things prevent from getting to your body?,"What do the red things prevent from getting to your body?
A. rain
B. bullets
C. sound
D. mosquitos

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. The red things,rain,A,A
