data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
3170,Why are these people on the backs of elephants?,"Why are these people on the backs of elephants?
A. taming them
B. confused
C. stealing them
D. transportation

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", communismor otheriallys,transportation,D,A
13220,Who holds an all-time record in a statistical category of this sport?,"Who holds an all-time record in a statistical category of this sport?
A. michael jordan
B. rickey henderson
C. wayne gretzky
D. tiger woods

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veteraity_clusively,rickey henderson,B,A
3478,What is one of the largest breeds of this animal?,"What is one of the largest breeds of this animal?
A. maine coon
B. greyhound
C. munchkin
D. doberman

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veterin_ taxpayc,maine coon,A,B
12996,What shape are the roofs?,"What shape are the roofs?
A. triangle
B. square
C. round
D. hexagon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", communismist_iencedness,triangle,A,B
10559,What is the job title of the person standing outside the first base line?,"What is the job title of the person standing outside the first base line?
A. outfielder
B. batter
C. catcher
D. coach

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerableityofdinandist,coach,D,A
1461,What is the person wearing?,"What is the person wearing?
A. helmet
B. suspenders
C. goggles
D. tie

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", communismor otheriallys,goggles,C,A
978,What type hat does the owner of this boat prefer appropriately?,"What type hat does the owner of this boat prefer appropriately?
A. none
B. baseball
C. floater
D. boater

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",erations.ductors. Rather,boater,D,A
389,What type of terrain is available here?,"What type of terrain is available here?
A. gravel
B. path
C. road
D. sidewalk

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", communism-s familya,path,B,S
5604,The colors on the pants resemble what animal?,"The colors on the pants resemble what animal?
A. flamingo
B. zebra
C. tiger
D. seal

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veterin_ taxpayi,tiger,C,A
14749,What company has a similar name compared to the name of the sponsor of this event?,"What company has a similar name compared to the name of the sponsor of this event?
A. wwe
B. lexisnexis
C. milky way
D. usps

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", communismor otheriallys,lexisnexis,B,A
10516,Where are these people most likely traveling?,"Where are these people most likely traveling?
A. australia
B. france
C. new zealand
D. united states

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerableityof Nervk,australia,A,B
17055,Which player has the higher jersey number?,"Which player has the higher jersey number?
A. baserunner
B. pitcher
C. goalie
D. quarterback

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslys abilityto perform,pitcher,B,A
1743,What are the stuffed animals shaped like?,"What are the stuffed animals shaped like?
A. bears
B. boars
C. bulls
D. baboons

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", communismor otheriallys,bears,A,B
17000,What is the man doing?,"What is the man doing?
A. running
B. sleeping
C. pointing
D. eating

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslysieoculturalist,pointing,C,A
1292,What allows this machine to be airborne?,"What allows this machine to be airborne?
A. reverse gravity
B. magic
C. lift
D. wind

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",ocumenti androidu,lift,C,A
3613,Where are they eating?,"Where are they eating?
A. outside
B. roof
C. indoors
D. basement

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veterin_ Estaba,outside,A,B
1552,What type of view do the passengers have?,"What type of view do the passengers have?
A. forest
B. desert
C. waves
D. mountains

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veteraionist_,forest,A,B
14134,What are all of the little sheep gathered around?,"What are all of the little sheep gathered around?
A. wheat
B. bed
C. salt
D. dirt

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veterin_ Estaba,wheat,A,B
7062,What is the abbreviation of the credentials that one needs to fly this craft?,"What is the abbreviation of the credentials that one needs to fly this craft?
A. atp
B. ccl
C. cfl
D. apl

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",geaninamityl,atp,A,B
7952,What do the officers here observe?,"What do the officers here observe?
A. party
B. horse race
C. candled cake
D. protest

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veteraions',protest,D,A
13188,This activity is most associated with which people group?,"This activity is most associated with which people group?
A. tibetans
B. tanzanians
C. japanese
D. inuit

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyolism_clusively,japanese,C,A
7200,What sort of business are the autos in all likelihood closest to?,"What sort of business are the autos in all likelihood closest to?
A. gas station
B. restaurant
C. auto repair
D. dealership

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", veterin_ taxpayi,auto repair,C,A
15101,What color is the faucet above of the sink?,"What color is the faucet above of the sink?
A. blue
B. black
C. silver
D. yellow

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",erations.ductors and other,yellow,D,A
